Rank,Genre
1254,klezmer
1255,depressive black metal
1256,finnish jazz
1257,j-core
1258,deep german indie
1259,barbershop
1260,jig and reel
1261,italian folk
1262,remix
1263,experimental psych
1264,vapor house
1265,indie fuzzpop
1266,kuduro
1267,blues-rock guitar
1268,pipe band
1269,funeral doom
1270,deep sunset lounge
1271,nepali
1272,skinhead reggae
1273,vintage chanson
1274,minimal dubstep
1275,screamo punk
1276,doujin
1277,indie shoegaze
1278,gospel blues
1279,screamocore
1280,go-go
1281,future ambient
1282,benga
1283,persian traditional
1284,cornetas y tambores
1285,demoscene
1286,greek house
1287,punta
1288,ambient fusion
1289,corsican folk
1290,wind ensemble
1291,deep canadian indie
1292,accordion
1293,deep happy hardcore
1294,geek folk
1295,throat singing
1296,indorock
1297,deep jazz guitar
1298,hard glam
1299,prank
1300,british dance band
1301,greek hip hop
1302,west african jazz
1303,stl indie
1304,neo-industrial rock
1305,college marching band
1306,ghettotech
1307,post-disco soul
1308,carnatic
1309,byzantine
1310,polka
1311,indie pop rock
1312,italian punk
1313,sinhala
1314,african percussion
1315,swedish pop punk
1316,british brass band
1317,bemani
1318,outer hip hop
1319,capoeira
1320,light music
1321,spoken word
1322,chinese traditional
1323,chinese indie rock
1324,deep melodic death metal
1325,vintage jazz
1326,black sludge
1327,cumbia funk
1328,commons
1329,mantra
1330,deep vocal jazz
1331,baroque ensemble
1332,power noise
1333,flick hop
1334,unblack metal
1335,spanish indie rock
1336,mexican traditional
1337,drama
1338,heavy gothic rock
1339,zim
1340,abstractro
1341,deep deep house
1342,polish jazz
1343,deep psytrance
1344,slash punk
1345,deep darkpsy
1346,makina
1347,dubsteppe
1348,traditional funk
1349,classical organ
1350,deep new wave
1351,deep indie singer-songwriter
1352,thrash-groove metal
1353,gothic post-punk
1354,bangla
1355,early music ensemble
1356,jug band
1357,contemporary classical
1358,dallas indie
1359,musique concrete
1360,deep jazz piano
1361,dark minimal techno
1362,northern irish indie
1363,thai indie
1364,classical flute
1365,covertrance
1366,c64
1367,classic eurovision
1368,noise punk
1369,spytrack
1370,belorush
1371,japanese traditional
1372,deep vocal house
1373,deep freestyle
1374,skiffle
1375,deep indie rock
1376,street punk
1377,hatecore
1378,poetry
1379,cajun
1380,tanzlmusi
1381,deep southern soul
1382,fussball
1383,deep full on
1384,clarinet
1385,contemporary folk
1386,indian rock
1387,fallen angel
1388,grisly death metal
1389,sunset lounge
1390,deep ragga
1391,deep funk house
1392,deep downtempo fusion
1393,deep indie pop
1394,hardcore breaks
1395,deep nordic folk
1396,traditional rockabilly
1397,microtonal
1398,deep east coast hip hop
1399,oratory
1400,neo soul-jazz
1401,deep progressive house
1402,glitch beats
1403,deep jazz fusion
1404,electroacoustic improvisation
1405,deep hardcore
1406,raw black metal
1407,deep filthstep
1408,deep pop emo
1409,deep swedish rock
1410,steelpan
1411,vintage swing
1412,punk ska
1413,deep thrash metal
1414,re:techno
1415,organic ambient
1416,maghreb
1417,skinhead oi
1418,klapa
1419,lowercase
1420,experimental dubstep
1421,wrock
1422,goa trance
1423,football
1424,slovenian rock
1425,deep free jazz
1426,noise
1427,deep northern soul
1428,norwegian punk
1429,deep chill-out
1430,crossover prog
1431,ambient dub techno
1432,deep classic garage rock
1433,dubstep product
1434,accordeon
1435,traditional reggae
1436,classic psychedelic rock
1437,dark progressive house
1438,deep italo disco
1439,deep surf music
1440,deep dub techno
1441,gamelan
1442,german street punk
1443,j-poppunk
1444,grim death metal
1445,tibetan
1446,zeuhl
1447,kc indie
1448,breaks
1449,bulgarian folk
1450,hard stoner rock
1451,deep punk rock
1452,j-punk
1453,chill-out trance
1454,deep motown
1455,deep cello
1456,chill groove
1457,neo honky tonk
1458,glitter trance
1459,charred death
1460,deep eurodance
1461,new jack smooth
1462,chinese opera
1463,italo beats
1464,terrorcore
1465,doomcore
1466,twin cities indie
1467,malagasy folk
1468,deep power-pop punk
1469,deep g funk
1470,deep space rock
1471,alternative metalcore
1472,deep nz indie
1473,indie emo rock
1474,vintage rockabilly
1475,modern downshift
1476,skweee
1477,french folk
1478,ceilidh
1479,deep hardcore punk
1480,nu electro
1481,deep classical piano
1482,anime cv
1483,jazz composition
1484,jangle rock
1485,saxophone
1486,swedish jazz orkester
1487,soda pop
1488,chinese experimental
1489,vintage schlager
1490,ghoststep
1491,deep neo-synthpop
1492,rhythm and boogie
1493,alternative hardcore
1494,ethereal gothic
